,Avg_BPM,Session_Duration (hours),Experience_Level,Calories_Burned
266,148,1.07,2,713.0
267,155,1.52,3,1060.0
268,156,1.03,2,803.0
269,145,1.63,3,1182.0
270,136,1.4,1,952.0
271,141,1.36,1,949.0
272,144,0.92,1,662.0
273,121,1.12,2,610.0
274,141,1.52,3,964.0
275,124,0.81,1,497.0
276,123,1.97,3,1212.0
277,155,1.48,1,1136.0
278,125,1.54,3,962.0
279,140,0.8,1,616.0
280,132,1.39,1,1009.0
281,156,1.35,2,1053.0
282,144,0.83,1,598.0
283,145,0.63,1,502.0
284,158,1.47,1,1161.0
285,139,1.79,3,1232.0
286,152,1.36,2,1137.0
287,133,0.81,1,593.0
288,155,1.1,2,938.0
289,136,1.37,2,922.0
290,140,0.9,1,567.0
291,165,1.13,2,923.0
292,135,1.42,1,1054.0
293,165,1.41,1,1047.0
294,135,1.4,2,936.0
295,139,1.4,1,876.0
296,148,1.07,2,792.0
297,147,1.48,2,979.0
298,127,0.53,1,333.0
299,143,1.03,2,729.0
300,122,0.77,1,465.0
301,144,1.62,3,1166.0
302,138,1.3,2,987.0
303,152,1.94,3,1474.0
304,121,1.46,2,874.0
305,134,1.36,1,911.0
306,141,1.14,2,796.0
307,129,1.85,3,1181.0
308,137,1.43,2,970.0
309,141,1.67,3,1177.0
310,165,1.83,3,1359.0
311,168,1.01,1,840.0
312,146,0.81,1,585.0
313,132,1.4,2,832.0
314,152,1.0,2,684.0
315,124,1.98,3,1105.0
316,145,1.84,3,1321.0
317,132,1.25,1,742.0
318,146,1.37,1,1100.0
319,133,1.16,2,694.0
320,143,1.3,1,1022.0
321,122,1.85,3,1016.0
322,166,1.04,2,863.0
323,168,1.13,2,949.0
324,149,1.14,1,764.0
325,154,1.03,2,714.0
326,167,1.48,2,1223.0
327,133,1.42,2,944.0
328,131,0.69,1,407.0
329,147,1.42,2,939.0
330,163,1.82,3,1468.0
331,148,1.22,1,903.0
332,162,0.81,1,722.0
333,136,0.96,1,653.0
334,159,1.49,2,1066.0
335,168,1.35,2,1123.0
336,140,1.2,2,840.0
337,142,1.17,1,822.0
338,139,1.42,1,1086.0
339,130,1.44,2,842.0
340,153,1.07,2,810.0
341,129,1.7,3,1096.0
342,129,0.83,1,482.0
343,162,1.48,2,1187.0
344,125,1.43,2,885.0
345,155,1.14,2,875.0
346,143,1.31,2,927.0
347,131,1.15,2,678.0
348,162,1.99,3,1451.0
349,142,0.64,1,500.0
350,146,1.41,1,1029.0
351,164,1.49,2,1100.0
352,156,1.13,2,881.0
353,125,0.84,1,525.0
354,120,0.67,1,442.0
355,125,1.38,1,949.0
356,169,1.56,3,1318.0
357,141,0.64,1,496.0
358,160,0.9,1,792.0
359,143,0.57,1,448.0
360,144,1.37,1,888.0
361,134,0.92,1,555.0
362,145,1.21,2,877.0
363,127,0.7,1,440.0
364,143,1.93,3,1380.0
365,167,0.92,1,768.0
366,157,1.14,2,886.0
367,125,1.88,3,1175.0
368,154,1.33,2,1024.0
369,161,1.3,2,1036.0
370,120,1.35,1,891.0
371,165,1.42,1,1289.0
372,155,1.19,2,830.0
373,131,1.6,3,943.0
374,157,1.43,2,1123.0
375,130,1.0,2,715.0
376,131,1.26,2,817.0
377,161,1.37,2,1103.0
378,169,1.25,1,1056.0
379,158,1.03,2,806.0
380,126,1.86,3,1160.0
381,130,0.93,1,598.0
382,155,1.15,2,882.0
383,150,0.85,1,638.0
384,152,1.37,2,1145.0
385,132,1.22,1,725.0
386,137,1.37,2,845.0
387,160,1.5,2,1200.0
388,143,0.73,1,574.0
389,128,1.09,2,767.0
390,150,1.31,2,973.0
391,160,1.9,3,1505.0
392,129,1.24,1,720.0
393,121,1.18,1,707.0
394,157,1.38,1,1192.0
395,134,1.93,3,1293.0
396,122,1.52,3,1020.0
397,162,1.23,2,996.0
398,150,1.9,3,1425.0
399,125,1.49,2,838.0
400,122,1.14,2,626.0
401,130,1.04,1,608.0
402,134,1.2,2,724.0
403,164,0.6,1,492.0
404,147,1.77,3,1301.0
405,129,1.0,2,639.0
406,157,1.48,2,1278.0
407,166,1.32,1,1205.0
408,169,1.4,1,1171.0
409,169,0.5,1,422.0
410,126,1.45,1,1005.0
411,134,0.73,1,440.0
412,137,1.59,3,1198.0
413,137,1.28,2,868.0
414,160,0.72,1,634.0
415,143,0.88,1,566.0
416,121,1.49,2,992.0
417,159,1.25,2,894.0
418,139,1.27,2,883.0
419,153,1.98,3,1500.0
420,162,1.35,2,1203.0
421,145,1.65,3,1316.0
422,126,1.84,3,1159.0
423,157,1.28,1,995.0
424,149,1.86,3,1247.0
425,161,0.62,1,499.0
426,124,1.51,3,927.0
427,130,0.69,1,444.0
428,120,1.93,3,1042.0
429,153,1.54,3,1060.0
430,120,1.74,3,940.0
431,138,1.43,2,1085.0
432,121,0.94,1,569.0
433,140,0.51,1,393.0
434,139,1.06,2,663.0
435,142,1.43,1,914.0
436,140,1.01,2,700.0
437,143,1.39,1,994.0
438,123,1.8,3,1218.0
439,131,1.14,2,739.0
440,141,1.98,3,1396.0
441,139,1.04,1,795.0
442,137,1.8,3,1356.0
443,120,1.58,3,948.0
444,149,1.22,2,900.0
445,152,1.4,2,1170.0
446,143,1.21,2,952.0
447,133,0.66,1,395.0
448,155,1.2,2,921.0
449,124,0.88,1,491.0
450,130,0.69,1,448.0
451,143,0.77,1,545.0
452,150,0.76,1,627.0
453,132,0.85,1,555.0
454,135,1.2,1,729.0
455,143,1.7,3,1203.0
456,132,1.35,2,882.0
457,143,1.88,3,1479.0
458,145,1.25,2,997.0
459,121,0.88,1,586.0
460,135,1.24,2,753.0
461,157,1.31,2,926.0
462,165,1.13,1,1025.0
463,120,1.47,2,873.0
464,168,1.25,1,1155.0
465,130,1.31,2,937.0
466,154,1.46,2,1012.0
467,162,0.83,1,740.0
468,148,1.17,1,779.0
469,156,1.18,2,920.0
470,136,1.41,2,1055.0
471,158,1.31,1,931.0
472,161,1.62,3,1304.0
473,147,0.7,1,463.0
474,148,1.33,2,886.0
475,162,1.82,3,1622.0
476,122,1.09,1,658.0
477,129,0.86,1,499.0
478,161,1.21,1,964.0
479,133,0.97,1,710.0
480,131,0.97,1,699.0
481,166,1.05,2,959.0
482,161,0.91,1,725.0
483,149,1.34,2,898.0
484,151,1.54,3,1151.0
485,151,1.66,3,1379.0
486,161,1.36,2,1084.0
487,151,0.74,1,615.0
488,145,1.1,2,718.0
489,120,1.07,2,642.0
490,161,1.27,2,920.0
491,121,1.41,1,768.0
492,136,1.7,3,1144.0
493,149,1.06,2,711.0
494,158,0.84,1,730.0
495,126,0.66,1,412.0
496,146,1.29,2,932.0
497,128,1.87,3,1185.0
498,141,1.22,2,946.0
499,153,1.28,2,881.0
500,165,1.38,1,1025.0
501,168,1.08,2,907.0
502,120,1.3,2,780.0
503,128,0.87,1,612.0
504,139,0.61,1,382.0
505,138,1.48,2,1011.0
506,155,1.08,1,753.0
507,159,1.44,2,1133.0
508,164,0.81,1,731.0
509,123,0.97,1,597.0
510,128,1.37,1,868.0
511,160,1.96,3,1725.0
512,141,1.85,3,1304.0
513,137,1.98,3,1492.0
514,131,1.41,2,831.0
515,161,0.85,1,684.0
516,162,1.28,2,933.0
517,158,1.38,2,1199.0
518,128,1.66,3,1169.0
519,125,0.93,1,639.0
520,138,1.42,2,980.0
521,167,1.29,1,1066.0
522,166,1.1,1,913.0
523,126,1.37,2,777.0
524,135,1.02,2,757.0
525,124,0.9,1,558.0
526,135,0.52,1,386.0
527,120,1.34,2,796.0
528,156,1.29,2,1107.0
529,158,1.68,3,1314.0
530,138,1.74,3,1321.0
531,156,1.37,2,962.0
532,136,0.61,1,415.0
533,145,1.15,2,834.0
534,141,1.01,2,705.0
535,127,0.72,1,453.0
536,152,1.77,3,1332.0
537,121,1.46,1,883.0
538,149,1.9,3,1401.0
539,166,1.45,2,1204.0
540,139,1.27,2,794.0
541,137,1.13,2,851.0
542,162,1.83,3,1467.0
543,129,1.1,2,710.0
544,143,1.03,2,810.0
545,123,1.48,1,910.0
546,156,1.17,2,1004.0
547,123,1.34,1,907.0
548,132,1.37,2,904.0
549,144,1.36,2,969.0
550,132,1.25,2,825.0
551,137,1.27,1,957.0
552,143,0.92,1,592.0
553,121,1.17,2,637.0
554,167,1.02,1,937.0
555,152,1.4,1,958.0
556,138,0.61,1,463.0
557,128,1.91,3,1345.0
558,147,1.16,2,844.0
559,154,0.97,1,672.0
560,158,1.08,1,768.0
561,129,1.37,1,972.0
562,120,1.04,2,686.0
563,161,1.42,2,1143.0
564,140,0.77,1,593.0
565,128,0.67,1,472.0
566,166,1.29,1,1071.0
567,134,1.32,2,876.0
568,154,1.14,2,878.0
569,124,0.54,1,331.0
570,160,1.34,1,1072.0
571,141,1.36,1,949.0
572,160,1.87,3,1646.0
573,142,1.45,1,927.0
574,126,1.35,2,842.0
575,142,1.26,2,895.0
576,163,1.03,1,831.0
577,144,1.23,1,886.0
578,146,1.29,1,848.0
579,160,1.27,2,1016.0
580,125,1.03,2,644.0
581,153,1.08,2,818.0
582,128,1.36,2,957.0
583,168,1.47,1,1111.0
584,152,1.56,3,1186.0
585,125,1.38,2,776.0
586,156,0.68,1,525.0
587,150,1.83,3,1510.0
588,153,1.01,2,850.0
589,160,1.24,2,1091.0
590,148,1.14,2,759.0
591,133,1.76,3,1053.0
592,155,1.41,2,983.0
593,155,0.69,1,529.0
594,134,0.89,1,656.0
595,127,1.83,3,1150.0
596,145,1.25,1,906.0
597,155,1.06,1,822.0
598,167,1.03,2,946.0
599,140,1.46,2,1022.0
600,147,1.14,2,830.0
601,123,1.87,3,1139.0
602,135,1.36,1,826.0
603,141,0.84,1,651.0
604,131,0.54,1,354.0
605,135,1.78,3,1322.0
606,159,1.03,2,737.0
607,157,0.59,1,463.0
608,161,1.67,3,1344.0
609,156,1.81,3,1398.0
610,148,1.73,3,1408.0
611,137,1.71,3,1171.0
612,129,1.25,1,806.0
613,161,1.42,2,1257.0
614,158,1.06,2,921.0
615,137,1.75,3,1319.0
616,120,1.19,2,714.0
617,158,1.29,2,1009.0
618,140,1.4,2,1078.0
619,120,0.55,1,330.0
620,134,1.19,2,789.0
621,123,1.52,3,1028.0
622,139,1.97,3,1355.0
623,129,0.76,1,441.0
624,142,0.89,1,632.0
625,160,0.95,1,684.0
626,153,1.17,2,806.0
627,165,1.67,3,1240.0
628,167,1.12,1,935.0
629,152,1.18,2,807.0
630,153,1.7,3,1287.0
631,158,1.48,2,1158.0
632,129,1.28,2,743.0
633,139,1.3,2,894.0
634,120,1.26,2,748.0
635,132,1.13,1,746.0
636,120,1.15,2,759.0
637,124,1.38,2,847.0
638,135,1.58,3,1173.0
639,134,1.46,2,1076.0
640,168,1.06,2,881.0
641,147,1.41,1,933.0
642,150,1.08,2,810.0
643,142,0.75,1,479.0
644,167,0.72,1,661.0
645,164,1.28,2,1050.0
646,162,1.88,3,1675.0
647,136,0.52,1,350.0
648,168,1.27,2,1173.0
649,153,1.8,3,1515.0
650,132,0.51,1,303.0
651,133,1.47,2,978.0
652,130,1.17,2,753.0
653,147,1.29,2,948.0
654,161,1.3,1,1151.0
655,151,1.38,1,938.0
656,154,1.1,2,847.0
657,150,1.31,2,1081.0
658,136,0.82,1,502.0
659,166,1.1,2,904.0
660,128,1.17,1,749.0
661,129,1.34,2,856.0
662,127,1.13,1,789.0
663,140,1.88,3,1184.0
664,132,0.71,1,422.0
665,169,1.12,1,937.0
666,124,1.5,1,837.0
667,125,0.97,1,606.0
668,149,1.72,3,1410.0
669,150,1.6,3,1320.0
670,136,1.45,1,887.0
671,130,1.38,2,987.0
672,139,1.42,2,1086.0
673,167,1.51,3,1248.0
674,128,1.0,2,640.0
675,121,1.32,1,719.0
676,156,1.02,2,875.0
677,120,1.27,2,762.0
678,123,1.13,1,688.0
679,155,1.41,2,983.0
680,144,1.48,1,1172.0
681,122,1.38,2,926.0
682,128,0.99,1,634.0
683,141,1.18,2,915.0
684,142,1.21,2,859.0
685,131,1.17,2,766.0
686,129,1.13,1,802.0
687,153,1.46,2,1229.0
688,162,1.02,2,826.0
689,129,1.37,2,972.0
690,149,1.2,2,983.0
691,141,1.14,2,796.0
692,125,1.98,3,1225.0
693,169,1.14,1,954.0
694,121,1.67,3,909.0
695,149,1.19,2,798.0
696,121,1.13,1,752.0
697,151,1.37,1,1024.0
698,161,1.24,1,988.0
699,135,1.11,2,674.0
700,131,1.14,2,821.0
701,120,1.2,2,720.0
702,127,1.07,2,679.0
703,167,1.37,2,1144.0
704,169,1.42,1,1188.0
705,132,0.8,1,475.0
706,134,1.18,2,870.0
707,163,0.85,1,693.0
708,127,1.45,1,1013.0
709,129,1.29,2,749.0
710,165,1.34,2,1216.0
711,124,1.8,3,1116.0
712,169,1.9,3,1766.0
713,138,1.35,2,1025.0
714,166,1.29,2,1060.0
715,157,1.0,2,777.0
716,130,1.07,2,626.0
717,162,0.54,1,394.0
718,139,1.38,2,950.0
719,139,1.71,3,1188.0
720,140,1.36,1,942.0
721,137,1.36,2,1025.0
722,169,1.27,2,966.0
723,129,1.36,1,868.0
724,153,1.44,1,1091.0
725,145,0.89,1,581.0
726,149,1.26,1,929.0
727,128,0.58,1,408.0
728,165,2.0,3,1634.0
729,150,0.57,1,423.0
730,161,1.02,2,821.0
731,123,1.38,1,849.0
732,125,1.61,3,906.0
733,133,1.06,1,775.0
734,123,1.41,2,954.0
735,145,1.76,3,1276.0
736,166,1.75,3,1598.0
737,167,1.36,1,1249.0
738,158,1.81,3,1573.0
739,136,1.06,2,714.0
740,138,1.36,2,938.0
741,168,0.97,1,733.0
742,125,0.51,1,319.0
743,148,1.17,2,952.0
744,130,1.41,2,916.0
745,135,1.49,2,1006.0
746,149,1.16,2,951.0
747,144,1.45,2,1148.0
748,159,0.75,1,537.0
749,130,1.49,2,968.0
750,126,1.02,1,643.0
751,145,1.36,2,986.0
752,141,1.32,2,1024.0
753,144,1.52,3,985.0
754,138,0.55,1,380.0
755,150,0.63,1,468.0
756,145,0.91,1,660.0
757,161,0.93,1,741.0
758,160,0.79,1,695.0
759,155,1.51,3,1159.0
760,142,1.11,1,709.0
761,166,0.93,1,695.0
762,132,1.49,2,1082.0
763,144,1.19,2,857.0
764,121,1.45,2,877.0
765,121,0.84,1,559.0
766,135,1.47,2,982.0
767,128,1.46,1,841.0
768,147,0.55,1,445.0
769,132,1.64,3,1082.0
770,154,0.76,1,585.0
771,160,1.29,2,1032.0
772,132,1.48,2,977.0
773,150,0.9,1,668.0
774,140,1.79,3,1378.0
775,151,1.08,1,807.0
776,153,1.22,2,924.0
777,127,1.72,3,1092.0
778,160,1.03,2,742.0
779,167,1.66,3,1372.0
780,121,1.37,1,829.0
781,157,1.48,2,1046.0
782,151,0.89,1,672.0
783,159,1.29,2,1015.0
784,147,1.9,3,1536.0
785,156,1.31,1,1012.0
786,160,1.34,2,965.0
787,120,0.66,1,436.0
788,160,1.47,2,1294.0
789,129,1.01,2,645.0
790,123,1.77,3,1197.0
791,154,1.35,2,1143.0
792,129,0.71,1,504.0
793,166,0.79,1,590.0
794,130,0.74,1,433.0
795,133,0.91,1,666.0
796,157,0.56,1,484.0
797,131,1.93,3,1138.0
798,164,1.42,2,1164.0
799,136,1.11,2,747.0
800,135,0.6,1,446.0
801,154,1.76,3,1491.0
802,121,1.33,2,885.0
803,130,0.87,1,566.0
804,160,1.41,2,1241.0
805,122,1.19,2,719.0
806,148,0.53,1,388.0
807,137,1.39,2,1047.0
808,139,1.17,2,732.0
809,166,1.08,1,807.0
810,133,1.67,3,999.0
811,153,1.62,3,1363.0
812,168,1.38,2,1148.0
813,150,1.13,2,847.0
814,159,1.09,2,858.0
815,161,1.26,2,1116.0
816,137,1.42,2,875.0
817,149,1.07,1,717.0
818,144,1.33,2,958.0
819,138,1.78,3,1228.0
820,127,1.23,2,859.0
821,147,1.22,1,888.0
822,127,1.19,2,756.0
823,150,0.96,1,792.0
824,122,1.08,1,659.0
825,122,0.74,1,406.0
826,163,1.1,1,986.0
827,141,1.12,2,711.0
828,136,1.35,2,1010.0
829,155,1.47,1,1128.0
830,136,1.94,3,1451.0
831,133,1.76,3,1159.0
832,128,1.63,3,1043.0
833,149,1.24,1,915.0
834,140,1.05,2,662.0
835,131,1.69,3,996.0
836,156,1.37,2,1069.0
837,151,0.99,1,673.0
838,130,1.21,1,779.0
839,139,1.15,2,879.0
840,154,1.76,3,1220.0
841,166,1.22,2,911.0
842,165,1.32,2,1198.0
843,130,0.74,1,481.0
844,127,1.0,2,698.0
845,123,1.8,3,1107.0
846,146,1.0,1,803.0
847,163,1.03,2,756.0
848,159,1.99,3,1582.0
849,157,0.71,1,552.0
850,166,1.34,2,1001.0
851,149,1.34,1,898.0
852,163,1.15,2,1031.0
853,167,1.07,2,893.0
854,167,1.06,2,876.0
855,146,1.1,2,795.0
856,140,0.72,1,454.0
857,139,1.77,3,1107.0
858,123,1.04,2,576.0
859,130,0.74,1,433.0
860,132,1.38,2,911.0
861,128,1.35,2,864.0
862,123,1.01,1,621.0
863,131,1.7,3,1102.0
864,128,1.94,3,1242.0
865,132,1.3,1,944.0
866,167,1.65,3,1378.0
867,145,0.82,1,594.0
868,157,0.77,1,598.0
869,161,1.28,1,927.0
870,132,1.87,3,1234.0
871,158,1.18,2,1025.0
872,147,0.68,1,500.0
873,138,1.03,2,711.0
874,143,1.5,2,965.0
875,138,0.91,1,691.0
876,168,1.59,3,1336.0
877,132,1.88,3,1117.0
878,132,1.07,2,706.0
879,147,1.65,3,1213.0
880,121,1.49,2,992.0
881,129,1.85,3,1181.0
882,141,1.03,2,726.0
883,132,1.33,2,878.0
884,128,1.03,1,725.0
885,152,1.58,3,1189.0
886,133,1.22,2,811.0
887,167,0.77,1,637.0
888,139,0.76,1,475.0
889,134,1.29,2,951.0
890,151,1.09,2,815.0
891,152,1.32,2,1104.0
892,136,1.72,3,1287.0
893,143,0.73,1,470.0
894,149,1.15,2,942.0
895,132,0.68,1,494.0
896,166,1.83,3,1519.0
897,167,1.63,3,1497.0
898,135,1.28,2,950.0
899,121,1.46,2,883.0
900,136,0.66,1,494.0
901,151,1.05,2,713.0
902,162,1.65,3,1336.0
903,127,1.38,2,876.0
904,122,0.94,1,573.0
905,131,1.42,2,921.0
906,139,1.88,3,1307.0
907,135,0.96,1,713.0
908,133,0.75,1,549.0
909,135,1.32,2,980.0
910,168,1.93,3,1783.0
911,162,0.79,1,634.0
912,168,0.77,1,640.0
913,152,1.19,1,895.0
914,149,0.72,1,531.0
915,131,1.05,2,681.0
916,134,1.24,2,914.0
917,137,1.26,2,863.0
918,147,1.13,2,831.0
919,142,1.15,1,816.0
920,133,1.56,3,1027.0
921,149,1.31,2,976.0
922,152,1.66,3,1135.0
923,164,1.02,2,753.0
924,134,0.94,1,693.0
925,126,1.13,2,705.0
926,134,0.89,1,656.0
927,161,1.31,2,1044.0
928,165,0.95,1,784.0
929,157,0.61,1,479.0
930,165,1.97,3,1463.0
931,163,1.14,1,836.0
932,130,1.72,3,1230.0
933,148,0.76,1,557.0
934,150,1.3,2,965.0
935,144,1.01,2,727.0
936,143,1.04,2,736.0
937,138,1.34,1,1017.0
938,121,0.85,1,514.0
939,141,0.57,1,402.0
940,139,1.18,1,812.0
941,152,1.32,2,1104.0
942,127,1.77,3,1113.0
943,144,1.99,3,1418.0
944,165,1.38,2,1127.0
945,128,1.02,2,718.0
946,153,1.05,2,723.0
947,142,1.2,1,852.0
948,124,1.91,3,1066.0
949,144,1.21,2,862.0
950,127,1.39,2,883.0
951,135,1.14,1,762.0
952,167,1.2,2,992.0
953,164,1.03,2,760.0
954,134,1.96,3,1445.0
955,120,1.24,2,818.0
956,141,1.32,1,838.0
957,122,1.83,3,1005.0
958,157,0.81,1,636.0
959,133,1.16,2,764.0
960,155,1.17,1,907.0
961,137,1.02,2,699.0
962,166,1.57,3,1290.0
963,160,1.39,1,1001.0
964,137,1.99,3,1227.0
965,122,0.58,1,354.0
966,129,1.87,3,1327.0
967,168,1.12,2,1035.0
968,158,1.57,3,1364.0
969,166,1.38,1,1260.0
970,120,1.72,3,929.0
